created_at,possibly_sensitive,author_id,text,clean_text,sentiment_vader_raw,sentiment_vader_label,edit_history_tweet_ids,id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,entities.mentions,name,user_location,user_location_USA_state,username,verified,word_count,hashtags,Conspiracy_gpt4o_mini,Sensationalism_gpt4o_mini,Hate_Speech_gpt4o_mini,Speculation_gpt4o_mini,Satire_gpt4o_mini,Conspiracy_gpt4o,Sensationalism_gpt4o,Hate_Speech_gpt4o,Speculation_gpt4o,Satire_gpt4o,Conspiracy_gemini_2.0_flash,Sensationalism_gemini_2.0_flash,Hate_Speech_gemini_2.0_flash,Speculation_gemini_2.0_flash,Satire_gemini_2.0_flash,Conspiracy_gemini_2.5_pro,Sensationalism_gemini_2.5_pro,Hate_Speech_gemini_2.5_pro,Speculation_gemini_2.5_pro,Satire_gemini_2.5_pro,Conspiracy_llama3.1_8B,Sensationalism_llama3.1_8B,Hate_Speech_llama3.1_8B,Speculation_llama3.1_8B,Satire_llama3.1_8B,Conspiracy_llama3.3,Sensationalism_llama3.3,Hate_Speech_llama3.3,Speculation_llama3.3,Satire_llama3.3,lang
2025-02-04 18:42:32+00:00,False,3000000906,"@MBawumia , hosted UN Resident Coordinator, H.E. Charles Abani. Abani expressed the UN's gratitude for @MBawumia contributions to Ghana's peace, democracy, and development, praising his vision for digital economic transformation and gracious 2024 election concession. https://t.co/OfCeW0lfD8",  hosted un resident coordinator he charles abani abani expressed the uns gratitude for  contributions to ghanas peace democracy and development praising his vision for digital economic transformation and gracious 2024 election concession ,0.9423,positive,['1886847828141465755'],1886847828141465755,1,0,1,0,0,5,"[{'start': 0, 'end': 9, 'username': 'MBawumia', 'id': '540485502'}, {'start': 103, 'end': 112, 'username': 'MBawumia', 'id': '540485502'}]",P A N D A 🐼,"Greater Accra, Ghana",,FAVOURITE_KIDD,False,36,[],0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,en
2024-11-05 15:01:00+00:00,False,1206672042612838400,"Make Sure You Vote! 
Election Day is November 5, 2024. View polling locations at https://t.co/ATtyI6vULd https://t.co/UQSrqlc6Pr","make sure you vote 
election day is november 5 2024 view polling locations at  ",0.3182,positive,['1853814781490196518'],1853814781490196518,0,0,0,0,0,0,,Rancho Gabriela Elementary School,,,RGESRattlers,False,16,[],0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,en
2025-01-17 17:04:19+00:00,False,548621265,"Bitcoin's correlations with major asset classes, including US equities, gold, and the US dollar index, decreased (in absolute terms) during Q4 2024, largely due to the election.

Read More: https://t.co/sPsOolbbHK https://t.co/mkpfadODSC","bitcoins correlations with major asset classes including us equities gold and the us dollar index decreased in absolute terms during q4 2024 largely due to the election

read more  ",0.4201,positive,['1880300126213927303'],1880300126213927303,1,1,1,0,0,54,,Grazi,NFTs  👉,,grazi,False,31,[],0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,en
2024-12-01 12:57:44+00:00,False,1755571120390963200,"It has been 26 days since the 2024 US election. Please remember to thank God for his mercy to this nation and pray for wisdom and boldness for our leaders.       

“First of all, then, I urge that supplications, prayers, intercessions, and thanksgivings be made for all people,… https://t.co/fCEDJ37kZP","it has been 26 days since the 2024 us election please remember to thank god for his mercy to this nation and pray for wisdom and boldness for our leaders       

first of all then i urge that supplications prayers intercessions and thanksgivings be made for all people ",0.9393,positive,['1863205843933564992'],1863205843933564992,0,0,0,0,0,3,,WayneJ,Michigan,Michigan,WayneJoubert8,False,48,[],0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,en
2025-05-24T11:19:44.000Z,False,1317142166901301248,"The destroyers are still among us, and they are still absolutely dominant when it comes to the institutions of power, the 2024 election did not change that.

One cannot rebuild family and fertility when the laws &amp; culture are dominated by those who seek to destroy.
4/","the destroyers are still among us and they are still absolutely dominant when it comes to the institutions of power the 2024 election did not change that

one cannot rebuild family and fertility when the laws amp culture are dominated by those who seek to destroy
4",-0.7783,negative,['1926236671294484586'],1926236671294484586,1,1,22,1,1,235,,Labrador Skeptic,A small city in the Heartland,,SaysSimulation,False,47,[],1,0,0,1,0,1,1,0,0,0,1.0,0.0,0.0,0.0,0.0,1,1,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,en
2025-03-12T01:17:31.000Z,False,2256936462,"@CptAncapistan Because Thomas Massie is a true American patriot who's actually voting based on what Republicans promised the American people during the 2024 election which was to cut spending. He knows (as does everyone who's being honest) that spending cuts ""next time"" will never come as they… https://t.co/0IVRWsjyOS", because thomas massie is a true american patriot whos actually voting based on what republicans promised the american people during the 2024 election which was to cut spending he knows as does everyone whos being honest that spending cuts next time will never come as they ,0.6486,positive,['1899630802398531661'],1899630802398531661,0,0,2,0,0,10,"[{'start': 0, 'end': 14, 'username': 'CptAncapistan', 'id': '1347650475500462080'}]",BullsGoneWild23,,,BullRun_23,False,48,[],0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,en
2025-02-22 18:51:27+00:00,False,755946560794558464,"GROK adds explosive as noon to crazy man trumps commentary

- The post references Donald Trump's claims on Truth Social about winning the 2024 presidential election in a landslide, capturing all swing states, the popular vote, and shifting all 50 states Republican, which… https://t.co/1zFA48LNHp https://t.co/fDWb5SpvuD","grok adds explosive as noon to crazy man trumps commentary

 the post references donald trumps claims on truth social about winning the 2024 presidential election in a landslide capturing all swing states the popular vote and shifting all 50 states republican which  ",0.7269,positive,['1893373052333019358'],1893373052333019358,2,1,4,0,0,280,,American Veteran,"Palm Desert, CA",California,amvetsupport,False,45,[],0,1,0,1,0,0,1,0,1,0,0.0,1.0,0.0,1.0,0.0,0,1,0,1,0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,en
2025-02-20 05:13:44+00:00,False,1795289231356727296,"@witQ24U What’s odd is, the path has been set for the federal election to be what BC has become. It will require broader attention from the public to address it properly. 

2040 agenda no one talks about and the test piloting being done in the 2024 bi-elections, and committee that’s been… https://t.co/GI2aohLirO"," whats odd is the path has been set for the federal election to be what bc has become it will require broader attention from the public to address it properly 

2040 agenda no one talks about and the test piloting being done in the 2024 bielections and committee thats been ",-0.5423,negative,['1892442492559380726'],1892442492559380726,0,1,0,0,0,11,"[{'start': 0, 'end': 8, 'username': 'witQ24U', 'id': '1597690141392666624'}]",The Remanded,Canada,,TheRemanded,False,52,[],1,0,0,1,0,1,0,0,1,0,1.0,0.0,0.0,1.0,0.0,1,0,0,1,0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,en
2025-06-09T12:58:53.000Z,False,1720665183188922368,"@BosFTW190584 @ThisWillHold2 @ChrisMurphyCT @nytimes @KirstenGrind @mega2e @MaxwellFrostFL @jamestalarico @JasmineForUS @Ilhan @keithellison @AskPerplexity No evidence supports claims that Elon Musk used Starlink to manipulate the 2024 U.S. election. Voting systems are offline, as confirmed by election officials and CISA, making interference via Starlink impossible. Fact-checks from PolitiFact and Snopes find no credible proof of",            no evidence supports claims that elon musk used starlink to manipulate the 2024 us election voting systems are offline as confirmed by election officials and cisa making interference via starlink impossible factchecks from politifact and snopes find no credible proof of,-0.7193,negative,['1932059828811350235'],1932059828811350235,0,0,0,0,0,6,"[{'start': 0, 'end': 13, 'username': 'BosFTW190584', 'id': '1775639684753899520'}, {'start': 14, 'end': 28, 'username': 'ThisWillHold2', 'id': '1660782497834180608'}, {'start': 29, 'end': 43, 'username': 'ChrisMurphyCT', 'id': '150078976'}, {'start': 44, 'end': 52, 'username': 'nytimes', 'id': '807095'}, {'start': 53, 'end': 66, 'username': 'KirstenGrind', 'id': '42555311'}, {'start': 67, 'end': 74, 'username': 'mega2e', 'id': '2598231787'}, {'start': 75, 'end': 90, 'username': 'MaxwellFrostFL', 'id': '67309671'}, {'start': 91, 'end': 105, 'username': 'jamestalarico', 'id': '77098233'}, {'start': 106, 'end': 119, 'username': 'JasmineForUS', 'id': '918913624395079680'}, {'start': 120, 'end': 126, 'username': 'Ilhan', 'id': '1082334352711790593'}, {'start': 127, 'end': 140, 'username': 'keithellison', 'id': '14135426'}, {'start': 141, 'end': 155, 'username': 'AskPerplexity', 'id': '1882198073168080896'}]",Grok,wherever you are,,grok,True,53,[],0,0,0,0,0,1,0,0,1,0,0.0,0.0,,0.0,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,en
2024-11-16 18:53:53+00:00,False,1857092777009389568,"The Fed Reasserts Independence After Trump's Election 
#Fed #Trump #Bitcoin #crypto #Coinbase #BlockChain #Tesla #ElonMusk 
https://t.co/QEKlXqrgXj","the fed reasserts independence after trumps election 
fed trump bitcoin crypto coinbase blockchain tesla elonmusk 
",0.0,neutral,['1857859653637648623'],1857859653637648623,0,0,0,0,0,1,,Adam Noh,US,,noh_adam9873,False,16,"['#fed', '#trump', '#bitcoin', '#crypto', '#coinbase', '#blockchain', '#tesla', '#elonmusk']",0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,en
2025-01-11 00:38:54+00:00,False,1796682263557513216,"@DefiantLs @truestormyjoe Prosecute Zuckerberg for 2018, 2020, 2022 and 2024 election crimes against the people.",  prosecute zuckerberg for 2018 2020 2022 and 2024 election crimes against the people,-0.4019,negative,['1877877811718791639'],1877877811718791639,0,0,0,0,0,13,"[{'start': 0, 'end': 10, 'username': 'DefiantLs', 'id': '1390762874809761793'}, {'start': 11, 'end': 25, 'username': 'truestormyjoe', 'id': '1679548924560810000'}]",TheTruthLivesInU,,,TruthTrumpWon,False,15,[],0,1,0,1,0,1,0,0,1,0,1.0,0.0,0.0,1.0,0.0,1,1,0,1,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,en
2025-03-21T01:30:24.000Z,False,1778726816733171712,"@RichardSny33733 @MAGACult2 Wrong. You MAGAs are in the minority whether you want to admit it or not. Trump didn‘t win the election. ’I didn’t vote’ did. The largest group falls into the category of not giving a shit about your orange cult leader.
https://t.co/nrj7YTqCpx
https://t.co/Nee6QcdhtR https://t.co/G3eCOESRdo","  wrong you magas are in the minority whether you want to admit it or not trump didnt win the election i didnt vote did the largest group falls into the category of not giving a shit about your orange cult leader

 ",0.3445,positive,['1902895537449291947'],1902895537449291947,0,0,2,0,1,27,"[{'start': 0, 'end': 16, 'username': 'RichardSny33733', 'id': '1871552842009382912'}, {'start': 17, 'end': 27, 'username': 'MAGACult2', 'id': '1821168100185927680'}]",𝓡𝓲𝓿𝓮𝓻 𝓢𝓸𝓷𝓰🎶,Avengers Mansion,,CollinwoodME,False,46,[],0,1,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,en
2025-06-01T20:39:04.000Z,False,1163750427315195905,"🚨 BREAKING: Donald Trump and his team were not informed in advance about Ukraine’s major drone strike on Russia.

The surprise move has raised questions about intel-sharing protocols during the 2024 U.S. election cycle.

#Ukraine #Trump #Russia #nuclear https://t.co/bUs4qcr2ek"," breaking donald trump and his team were not informed in advance about ukraines major drone strike on russia

the surprise move has raised questions about intelsharing protocols during the 2024 us election cycle

ukraine trump russia nuclear ",0.0828,positive,['1929276534847602745'],1929276534847602745,1,0,1,0,0,695,,Bhaskar Chakravorty,"Uttar pradesh, India ",,Bhaskar16603,False,39,"['#ukraine', '#trump', '#russia', '#nuclear']",0,1,0,1,0,0,1,0,1,0,0.0,0.0,0.0,1.0,0.0,0,1,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,en
